_cv_id,_jd_id,label
CV091,FN00004,0.2
CV098,MK00003,0.4
CV100,FN00005,0.0
CV094,IT00005,0.0
CV100,MK00008,0.0
CV093,MK00010,0.2
CV090,IT00007,0.0
CV093,FN00003,0.0
CV097,MK00010,0.0
CV099,MK00003,0.5
CV099,IT00007,0.0
CV100,FN00001,0.0
CV093,MK00006,0.1
CV100,IT00003,0.3
CV093,MK00005,1.0
CV093,IT00007,0.0
CV092,FN00002,0.3
CV091,IT00010,0.0
CV090,FN00007,0.2
CV090,IT00004,0.0
CV092,IT00001,0.0
CV096,FN00008,0.3
CV099,MK00009,0.1
CV097,IT00001,0.0
CV097,MK00006,0.0
CV098,MK00009,0.3
CV095,FN00005,0.0
CV097,IT00005,0.0
CV097,MK00003,0.0
CV091,IT00008,0.0
CV092,FN00006,0.6
CV098,IT00001,0.0
CV097,FN00003,0.3
CV097,FN00002,0.8
CV096,FN00007,0.2
CV092,MK00004,0.0
CV094,FN00002,0.3
CV096,IT00002,0.0
CV094,FN00006,0.3
CV091,FN00008,0.3
CV100,IT00001,0.6
CV093,MK00003,0.3
CV100,FN00009,0.0
CV096,FN00003,0.2
CV092,IT00009,0.0
CV093,FN00001,0.0
CV094,IT00007,0.0
CV092,FN00009,0.3
CV093,MK00008,0.5
CV098,MK00005,0.3
CV094,FN00004,0.2
CV098,MK00010,1.0
CV093,FN00005,0.0
CV093,MK00009,0.2
CV096,IT00005,0.0
CV094,FN00005,1.0
CV091,FN00009,0.5
CV092,MK00001,0.0
CV100,IT00004,0.1
CV095,IT00005,0.0
CV100,IT00006,0.3
CV090,IT00008,0.0
CV099,FN00003,0.0
CV092,FN00008,0.8
CV095,MK00008,0.5
CV091,FN00007,0.2
CV095,MK00001,0.6
CV097,FN00004,1.0
CV096,MK00001,0.0
CV094,FN00001,0.7
CV093,IT00001,0.0
CV090,MK00008,0.0
CV099,FN00005,0.0
CV099,MK00002,0.2
CV092,FN00004,0.2
CV091,IT00006,0.0
CV097,MK00001,0.0
CV096,MK00004,0.0
CV095,MK00002,0.3
CV096,FN00006,0.5
CV099,IT00001,0.0
CV090,FN00004,0.2
CV095,IT00004,0.0
CV097,FN00001,0.6
CV090,FN00006,0.4
CV100,IT00005,0.1
CV093,MK00007,0.4
CV090,FN00003,1.0
CV098,MK00008,0.3
CV094,MK00008,0.0
CV090,MK00003,0.0
CV092,MK00008,0.0
CV091,IT00001,0.0
CV094,FN00003,0.3
CV091,MK00001,0.0
CV093,MK00004,0.2
CV091,MK00008,0.0
CV094,MK00001,0.0
CV092,FN00003,0.2
CV095,IT00001,0.0
CV096,FN00002,0.2
CV099,MK00005,0.6
CV093,MK00001,0.5
CV096,IT00003,0.0
CV100,IT00010,0.4
CV096,MK00008,0.0
CV091,FN00001,0.8
CV095,MK00007,0.6
CV098,MK00001,0.5
CV095,MK00003,0.3
CV092,IT00006,0.0
CV098,IT00003,0.0
CV098,IT00010,0.0
CV092,FN00001,0.4
CV098,IT00005,0.1
CV094,FN00007,0.4
CV096,MK00006,0.0
CV093,IT00005,0.0
CV090,IT00001,0.0
CV098,FN00001,0.0
CV100,MK00005,0.0
CV094,IT00003,0.0
CV099,IT00005,0.0
CV094,IT00001,0.0
CV100,MK00001,0.0
CV098,MK00004,0.8
CV095,FN00003,0.0
CV097,FN00008,0.4
CV092,FN00005,1.0
CV099,MK00001,0.7
CV098,FN00002,0.0
CV095,MK00010,0.3
CV096,FN00009,1.0
CV099,MK00004,0.3
CV095,IT00007,0.0
CV099,FN00001,0.0
CV093,MK00002,0.8
CV100,MK00003,0.0
CV096,FN00001,0.7
CV095,MK00006,1.0
CV095,MK00009,0.2
CV099,MK00008,1.0
CV095,FN00002,0.0
CV090,FN00002,0.4
